Area,Region,Average Maximum (C),Average Minimum (C),
,Gaines,,,
,Garza,,,
,Hale,,,
,Hockley,,,
,Lamb,,,
,Lubbock,,,
,Lynn,,,
,Parmer,,,
,Swisher,,,
,Terry,,,
,Yoakum,,,
,,,,
,LFK,,,
,Angelina,,,
,Houston,,,
,Nacogdoches,,,
,Polk,,,
,Sabine,,,
,San Augustine,,,
,San Jacinto,,,
,Shelby,,,
,Trinity,,,
,,,,
,LRD,,,
,Dimmit,,,
,Duval,,,
,Kinney,,,
,La Salle,,,
,Maverick,,,
,Val Verde,,,
,Webb,,,
,Zavala,,,
,,,,
,ODA,,,
,Andrews,,,
,Crane,,,
,Ector,,,
,Loving,,,
,Martin,,,
,Midland,,,
,Pecos,,,
,Reeves,,,
,Terrell,,,
,Upton,,,
,Ward,,,
,Winkler,,,
,,,,
,PAR,,,
,Delta,,,
,Fannin,,,
,Franklin,,,
,Grayson,,,
,Hopkins,,,
,Hunt,,,
,Lamar,,,
,Rains,,,
,Red River,,,
,,,,
,PHR,,,
,Brooks,,,
,Cameron,,,
,Hidalgo,,,
,Jim Hogg,,,
,Kenedy,,,
,Starr,,,
,Willacy,,,
,Zapata,,,
,,,,
,SAT,,,
,Atascosa,,,
,Bandera,,,
,Bexar,,,
,Comal,,,
,Frio,,,
,Guadalupe,,,
,Kendall,,,
,Kerr,,,
,McMullen,,,
,Medina,,,
,Uvalde,,,
,Wilson,,,
,,,,
,SJT,,,
,Coke,,,
,Concho,,,
,Crockett,,,
,Edwards,,,
,Glasscock,,,
,Irion,,,
,Kimble,,,
,Menard,,,
,Reagan,,,
,Real,,,
,Runnels,,,
,Schleicher,,,
,Sterling,,,
,Sutton,,,
,Tom Green,,,
,,,,
,TYL,,,
,Anderson,,,
,Cherokee,,,
,Gregg,,,
,Henderson,,,
,Rusk,,,
,Smith,,,
,Van Zandt,,,
,Wood,,,
,,,,
,WAC,,,
,Bell,,,
,Bosque,,,
,Coryell,,,
,Falls,,,
,Hamilton,,,
,Hill,,,
,Limestone,,,
,McLennan,,,
,,,,
,WFS,,,
,Archer,,,
,Baylor,,,
,Clay,,,
,Cooke,,,
,Montague,,,
,Throckmorton,,,
,Wichita,,,
,Wilbarger,,,
,Young,,,
,,,,
,YKM,,,
,Austin,,,
,Calhoun,,,
,Colorado,,,
,DeWitt,,,
,Fayette,,,
,Gonzales,,,
,Jackson,,,
,Lavaca,,,
,Matagorda,,,
,Victoria,,,
,Wharton,,,
