Area,Region,Average Maximum (C),Average Minimum (C),
??,1,35.5,-6.2,
??,1,35.3,-6.9,
???,1,35.8,-6.4,
??,1,37,-5.8,
???,1,34.9,-8.7,
???,1,35.5,-9.5,
??,1,36.9,-9.1,
??,1,35.9,-10.4,
???,1,35.4,-11.5,
??,1,36.9,-10.7,
???,1,36.2,-11.6,
??,1,37.8,-10.4,
??,1,36.9,-11.3,
??,1,36,-12.6,
???,1,37.6,-11.3,
???,1,37.3,-11.7,
??,1,37.7,-11.6,
??,1,36.8,-13.2,
??,2,37.3,-12.8,
???,2,37.4,-12.7,
???,2,39.1,-11.1,
???,2,33.5,-17.4,
???,2,38.5,-12.4,
??,2,38.5,-12.5,
??,2,37.1,-14,
??,2,37.8,-13.4,
??,2,36.4,-14.8,
??,2,37.2,-14.1,
??,2,38.5,-13.1,
??,2,37.8,-14,
??,2,37.1,-15,
??,2,39.4,-12.9,
??,2,38.8,-13.5,
??,2,37.9,-14.6,
???,2,37.6,-15.2,
???,2,39.8,-13,
??,2,39.2,-13.9,
???,2,38.7,-14.4,
??,2,38.1,-15.1,
???,2,37.1,-16.2,
???,2,37.7,-15.6,
??,2,37.9,-15.6,
??,2,38.4,-15.1,
??,2,37.8,-15.8,
??,2,37,-16.6,
???,2,37.8,-16,
??,2,38.2,-15.6,
???,2,36.7,-17.5,
??,2,38.9,-15.3,
??,2,38.5,-15.8,
???,2,38.1,-16.2,
??,2,36.9,-17.7,
??,2,39,-15.8,
??,2,39.9,-15.1,
??,2,37.7,-17.3,
??,2,38.7,-16.4,
??,2,37,-18.2,
??,2,38,-17.2,
??,2,38.2,-17,
??,2,39.6,-15.7,
??,2,38.1,-17.4,
??,2,37.1,-18.4,
??,2,37.1,-18.7,
??,2,39.5,-16.4,
??,2,36.5,-20,
??,2,38,-18.5,
??,2,34.7,-22,
??,2,39.4,-17.4,
??,2,39.7,-17.4,
???,2,37.5,-19.6,
??,2,39.1,-18.1,
??,2,37.5,-19.7,
??,2,37.9,-19.5,
??,2,35.7,-21.7,
??,2,37.9,-19.6,
??,2,39.3,-18.6,
??,2,35.8,-22.1,
??,2,36.4,-21.5,
???,2,38.1,-19.8,
??,2,39.6,-18.6,
??,2,37,-21.4,
???,2,38.5,-20,
??,2,39.3,-19.4,
??,2,38,-20.9,
??,2,38.7,-20.4,
??,2,37.6,-21.6,
??,2,38.9,-20.4,
??,2,37.5,-21.8,
???,2,39.6,-20.1,
??,2,36.5,-23.3,
??,2,38.8,-21.2,
??,2,38,-22,
??,3,38.2,-22,
??,3,38.8,-22,
??,3,37.8,-23.9,
??,3,40,-21.7,
???,3,35,-26.8,
??,3,40.1,-21.8,
??,3,37.6,-24.5,
???,3,40.6,-21.7,
??,3,37.7,-24.6,
??,3,38.5,-24,
??,3,39.4,-23.2,
??,3,39.9,-23.5,
??,3,37.8,-25.6,
??,3,40.4,-23.2,
??,3,37.2,-26.7,
??,3,39.5,-24.5,
??,3,38.6,-25.5,
???,3,38.7,-26.2,
??,3,39.4,-26,
??,3,37.8,-27.7,
??,3,33.7,-32.3,
??,3,38.7,-27.8,
??,3,38.4,-29.2,
??,3,41,-26.7,
??,3,38.9,-29.5,
??,3,33.2,-36.6,
???,3,33.5,-40.1,
??,3,40.2,-35.5,
??,3,46,-33.9,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ABL,ABL,,,
AMA,Borden,,,
ATL,Callahan,,,
AUS,Fisher,,,
BMT,Haskell,,,
BRY,Howard,,,
BWD,Jones,,,
CHS,Kent,,,
CRP,Mitchell,,,
DAL,Nolan,,,
ELP,Scurry,,,
FTW,Shackelford,,,
HOU,Stonewall,,,
LBB,Taylor,,,
LFK,,,,
LRD,AMA,,,
ODA,Armstrong,,,
PAR,Carson,,,
PHR,Dallam,,,
SAT,Deaf Smith,,,
SJT,Gray,,,
TYL,Hansford,,,
WAC,Hartley,,,
WFS,Hemphill,,,
YKM,Hutchinson,,,
,Lipscomb,,,
,Moore,,,
,Ochiltree,,,
,Oldham,,,
,Potter,,,
,Randall,,,
,Roberts,,,
,Sherman,,,
,,,,
,ATL,,,
,Bowie,,,
,Camp,,,
,Cass,,,
,Harrison,,,
,Marion,,,
,Morris,,,
,Panola,,,
,Titus,,,
,Upshur,,,
,,,,
,AUS,,,
,Bastrop,,,
,Blanco,,,
,Burnet,,,
,Caldwell,,,
,Gillespie,,,
,Hays,,,
,Lee,,,
,Llano,,,
,Mason,,,
,Travis,,,
,Williamson,,,
,,,,
,BMT,,,
,Chambers,,,
,Hardin,,,
,Jasper,,,
,Jefferson,,,
,Liberty,,,
,Newton,,,
,Orange,,,
,Tyler,,,
,,,,
,BRY,,,
,Brazos,,,
,Burleson,,,
,Freestone,,,
,Grimes,,,
,Leon,,,
,Madison,,,
,Milam,,,
,Robertson,,,
,Walker,,,
,Washington,,,
,,,,
,BWD,,,
,Brown,,,
,Coleman,,,
,Comanche,,,
,Eastland,,,
,Lampasas,,,
,McCulloch,,,
,Mills,,,
,San Saba,,,
,Stephens,,,
,,,,
,CHS,,,
,Briscoe,,,
,Childress,,,
,Collingsworth,,,
,Cottle,,,
,Dickens,,,
,Donley,,,
,Foard,,,
,Hall,,,
,Hardeman,,,
,King,,,
,Knox,,,
,Motley,,,
,Wheeler,,,
,,,,
,CRP,,,
,Aransas,,,
,Bee,,,
,Goliad,,,
,Jim Wells,,,
,Karnes,,,
,Kleberg,,,
,Live Oak,,,
,Nueces,,,
,Refugio,,,
,San Patricio,,,
,,,,
,DAL,,,
,Collin,,,
,Dallas,,,
,Denton,,,
,Ellis,,,
,Kaufman,,,
,Navarro,,,
,Rockwall,,,
,,,,
,ELP,,,
,Brewster,,,
,Culberson,,,
,El Paso,,,
,Hudspeth,,,
,Jeff Davis,,,
,Presidio,,,
,,,,
,FTW,,,
,Erath,,,
,Hood,,,
,Jack,,,
,Johnson,,,
,Palo Pinto,,,
,Parker,,,
,Somervell,,,
,Tarrant,,,
,Wise,,,
,,,,
,HOU,,,
,Brazoria,,,
,Fort Bend,,,
,Galveston,,,
,Harris,,,
,Montgomery,,,
,Waller,,,
,,,,
,LBB,,,
,Bailey,,,
,Castro,,,
,Cochran,,,
,Crosby,,,
,Dawson,,,
,Floyd,,,
